info,model,exec,algo,split,seed,n,mean_bps,sr,t_nw,hit,long_frac,psr0
causal,97,engine,ppo,16,13,520,2.169143830997601,0.05704320647321921,1.4265566176228976,0.4634615384615385,0.5961538461538461,0.9062305388144797
causal,97,next,ppo,16,13,520,-2.0707786518995954,-0.03546149338185434,-0.8306743364472362,0.4653846153846154,0.5961538461538461,0.2107595546842646
causal,97,bracket,ppo,16,13,520,-2.224203731633179,-0.05373071484048909,-1.3076486392199165,0.3923076923076923,0.5961538461538461,0.11495745060597357
causal,98,engine,ppo,16,29,656,2.2438625683529967,0.059192513035786536,1.5334354325057706,0.4634146341463415,0.3429878048780488,0.9378955487477275
causal,98,next,ppo,16,29,656,-0.969406997705733,-0.017383000945112075,-0.4529089560887486,0.4573170731707317,0.3429878048780488,0.3286094089910956
causal,98,bracket,ppo,16,29,656,-1.9681776122105679,-0.046033672033647235,-1.1356311666529955,0.3856707317073171,0.3429878048780488,0.12394288440089962
causal,99,engine,grpo,16,7,647,3.6268824495114598,0.09545437162685416,2.458314880060058,0.482225656877898,0.0077279752704791345,0.9933999532884654
causal,99,next,grpo,16,7,647,-0.8887537258588557,-0.01593185009192079,-0.4044581907255103,0.47913446676970634,0.0077279752704791345,0.3429518064371895
causal,99,bracket,grpo,16,7,647,-0.2537513569806377,-0.0057342505714960655,-0.14388912670126905,0.40030911901081917,0.0077279752704791345,0.4421587596170597
causal,100,engine,grpo,16,13,536,3.4203634368397475,0.09118496965854887,2.3004301423696134,0.48507462686567165,0.05970149253731343,0.9842577679836181
causal,100,next,grpo,16,13,535,-1.0158989225529111,-0.018645116994786604,-0.44967248615183963,0.4822429906542056,0.05970149253731343,0.33324944586169747
causal,100,bracket,grpo,16,13,536,-0.8183610834106182,-0.0196034073460158,-0.4657577892365532,0.4048507462686567,0.05970149253731343,0.32620427322629264
causal,101,engine,grpo,16,29,529,3.078493828183252,0.08061659790740217,2.0159273770040915,0.4839319470699433,0.07750472589792061,0.9702442083727473
causal,101,next,grpo,16,29,529,0.21051695320649286,0.00380371723032434,0.09257796438165786,0.4914933837429111,0.07750472589792061,0.5348383963788482
causal,101,bracket,grpo,16,29,529,-0.8291472529626994,-0.01933742634956936,-0.47083613344680775,0.4045368620037807,0.07750472589792061,0.3296862938429459
causal,102,engine,ppo,17,7,529,2.5842170868551175,0.06570077104866713,1.5920686205059833,0.44612476370510395,0.7466918714555766,0.9379112509487302
causal,102,next,ppo,17,7,529,-0.242885473512004,-0.004276539720181232,-0.10344806014858654,0.444234404536862,0.7466918714555766,0.4608972078356638
causal,102,bracket,ppo,17,7,529,-0.5746697220174973,-0.013212404942134125,-0.31228122154060434,0.391304347826087,0.7466918714555766,0.38136406791030636
causal,103,engine,ppo,17,13,578,1.1405733447890658,0.029678721751425635,0.6567440396956501,0.4532871972318339,0.6505190311418685,0.7639532726365099
causal,103,next,ppo,17,13,578,-3.4184895475969923,-0.06071769406931597,-1.3560580419698716,0.44809688581314877,0.6505190311418685,0.07485996135926339
causal,103,bracket,ppo,17,13,578,-2.6094914963559788,-0.06141223998146515,-1.3749719991389526,0.3892733564013841,0.6505190311418685,0.07574253515532231
causal,104,engine,ppo,17,29,652,0.829710975617152,0.021715995885337954,0.6345983919349373,0.4447852760736196,0.6196319018404908,0.7115998027195997
causal,104,next,ppo,17,29,652,-3.4707932083432755,-0.06293185379186476,-1.7421275818133162,0.4401840490797546,0.6196319018404908,0.05698220224447039
causal,104,bracket,ppo,17,29,652,-4.198043858977833,-0.10046899846534797,-2.6871313301394153,0.36809815950920244,0.6196319018404908,0.007036162450716606
causal,105,engine,grpo,17,7,559,3.143826488403812,0.08302297782944902,1.9201628137564708,0.4740608228980322,0.7799642218246869,0.9775719674647145
causal,105,next,grpo,17,7,559,-1.2039753030147826,-0.021389012289137213,-0.5172705561202419,0.47942754919499103,0.7799642218246869,0.307031479025561
causal,105,bracket,grpo,17,7,559,-2.8462153225510183,-0.06966870208266322,-1.590606315125894,0.3828264758497317,0.7799642218246869,0.054968110451155024
causal,106,engine,grpo,17,13,662,0.9341489360567452,0.02410128154787705,0.595805700020088,0.44108761329305135,0.9924471299093656,0.733697487742734
causal,106,next,grpo,17,13,662,-2.7255231916713836,-0.04886124002725755,-1.2486517444924417,0.44108761329305135,0.9924471299093656,0.1064615876605765
causal,106,bracket,grpo,17,13,662,-4.065735980374275,-0.09525570304522336,-2.297858409570231,0.36253776435045315,0.9924471299093656,0.009636056029892568
causal,107,engine,grpo,17,29,660,1.1155652037242927,0.02896026812426222,0.7168857597119281,0.44545454545454544,0.9590909090909091,0.7732731288376244
causal,107,next,grpo,17,29,660,-2.6190033156247767,-0.04696477490658883,-1.210998609543705,0.44696969696969696,0.9590909090909091,0.1158124495426448
causal,107,bracket,grpo,17,29,660,-3.999038598172906,-0.09574253978843512,-2.390810768427701,0.3712121212121212,0.9590909090909091,0.009083509068406938
causal,108,engine,ppo,18,7,645,1.5706677151176365,0.04145477635785508,0.999532566398722,0.462015503875969,0.786046511627907,0.8565270677881864
causal,108,next,ppo,18,7,645,-2.2214459912287947,-0.04002919499564359,-0.9932897315655022,0.4604651162790698,0.786046511627907,0.15579340699791727
causal,108,bracket,ppo,18,7,645,-3.107574648036961,-0.07399160135840596,-1.8205850544404507,0.386046511627907,0.786046511627907,0.034938736557557554
causal,109,engine,ppo,18,13,632,0.11343964847548473,0.0029457044279554436,0.07292778520107245,0.435126582278481,0.7863924050632911,0.5295196931721673
causal,109,next,ppo,18,13,632,-3.0138467685262493,-0.05312194220163342,-1.3543505212098554,0.4319620253164557,0.7863924050632911,0.09492465295699659
causal,109,bracket,ppo,18,13,632,-3.3557643264560135,-0.07889062953793191,-1.9329621727092114,0.375,0.7863924050632911,0.027958796270098847
causal,110,engine,ppo,18,29,583,3.58009155606482,0.09085438926466992,2.0555435464095098,0.4751286449399657,0.8730703259005146,0.9876435152262597
causal,110,next,ppo,18,29,583,0.24478353707761427,0.004373422808953993,0.10287287740039594,0.46826758147512865,0.8730703259005146,0.5420479929176666
causal,110,bracket,ppo,18,29,583,-2.4273591946433286,-0.05656248688332439,-1.3564420253428648,0.3927958833619211,0.8730703259005146,0.08955268026353264
causal,111,engine,grpo,18,7,416,2.8773844572600153,0.07322637448079815,1.5626252740122968,0.47115384615384615,0.9206730769230769,0.9353650508233768
causal,111,next,grpo,18,7,416,-0.9523621884264384,-0.016572739020945824,-0.37054663935630977,0.47115384615384615,0.9206730769230769,0.367962786116957
causal,111,bracket,grpo,18,7,416,-1.3449647444628208,-0.031548023747665264,-0.6187748206996522,0.4182692307692308,0.9206730769230769,0.2623551811987884
causal,112,engine,grpo,18,13,605,0.6749212343038029,0.017709258059474892,0.4362326732787368,0.4380165289256198,0.9520661157024793,0.669092999359322
causal,112,next,grpo,18,13,605,-3.238043081356188,-0.058848491648008504,-1.4062879464494424,0.43636363636363634,0.9520661157024793,0.07576924312377825
causal,112,bracket,grpo,18,13,605,-3.186941841901923,-0.07632392528800376,-1.9423967167705016,0.3752066115702479,0.9520661157024793,0.03532786133980659
causal,113,engine,grpo,18,29,661,3.264504304772475,0.08334134733235846,2.0949303834389563,0.47049924357034795,0.8229954614220878,0.9855059102356232
